Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker
2022-01-03,271.73,274.41,274.41,267.06,271.73,2621300,,,,,,,,271.73,,,0.00,False,False,271.73,31000000.00,0,15810292.39,15189707.61,43.00,0.00,31000000,week +buy 50% Monthly invest,,,,LLY
2022-01-04,266.81,269.00,269.88,263.58,266.81,2340500,,,,,,,,271.73,,,-0.12,False,False,266.81,30724971.27,0,15810292.39,14914678.89,43.00,-0.89,31000000,,,,,LLY
2022-01-05,260.65,268.16,268.77,260.42,260.65,3004200,,,,,,,,271.73,,,-0.33,False,False,260.65,30380627.05,0,15810292.39,14570334.66,43.00,-2.00,31000000,,,,,LLY
2022-01-06,259.33,260.10,261.30,255.46,259.33,2863200,,,,,,,,271.73,,,-0.48,False,False,259.33,30306838.66,0,15810292.39,14496546.27,43.00,-2.24,31000000,,,,,LLY
2022-01-07,259.50,259.74,261.25,256.71,259.50,2245100,,,263.60,,,,,271.73,,,-0.54,False,False,259.33,30316342.39,0,15810292.39,14506050.00,43.00,-2.21,31000000,,,,,LLY
2022-01-10,260.11,258.19,260.16,255.89,260.11,2576700,,,261.28,,,,,271.73,,,-0.53,False,False,259.33,30350440.55,0,8033003.83,22317436.71,66.00,-2.10,31000000,week +buy 50% ,,,,LLY
2022-01-11,262.32,261.59,262.41,257.06,262.32,2294000,,,260.38,,,,,271.73,,,-0.44,False,False,259.33,30540060.43,0,8033003.83,22507056.60,66.00,-1.48,31000000,,,,,LLY
2022-01-12,255.92,252.90,257.44,250.97,255.92,6562800,,,259.44,,,,,271.73,,,-0.51,False,False,255.92,29990939.66,0,8033003.83,21957935.83,66.00,-3.26,31000000,,,,,LLY
2022-01-13,249.67,254.07,255.50,248.55,249.67,3726500,,,257.50,,,,,271.73,,,-0.68,False,False,249.67,29454689.66,0,8033003.83,21421685.83,66.00,-4.98,31000000,,,,,LLY
2022-01-14,244.12,250.15,250.54,242.90,244.12,2894300,,,254.43,,,,,271.73,,,-0.88,False,False,244.12,28978499.40,0,8033003.83,20945495.57,66.00,-6.52,31000000,,,,,LLY
2022-01-18,247.07,242.75,248.52,242.09,247.07,3241200,,,251.82,,,,,271.73,,,-0.87,False,False,244.12,29231610.43,0,8033003.83,21198606.60,66.00,-5.70,31000000,,,,,LLY
