Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker
2022-01-03,399.93,382.58,400.36,378.68,399.93,103931400,,,,,,,,399.93,,,0.00,False,False,399.93,31000000.00,0,15922764.69,15077235.31,29.00,0.00,31000000,week +buy 50% Monthly invest,,,,TSLA
2022-01-04,383.20,396.52,402.67,374.35,383.20,100248300,,,,,,,,399.93,,,-0.27,False,False,383.20,30369278.59,0,15922764.69,14446513.89,29.00,-2.03,31000000,,,,,TSLA
2022-01-05,362.71,382.22,390.11,360.34,362.71,80119800,,,,,,,,399.93,,,-0.75,False,False,362.71,29596805.96,0,15922764.69,13674041.27,29.00,-4.53,31000000,,,,,TSLA
2022-01-06,354.90,359.00,362.67,340.17,354.90,90336600,,,,,,,,399.93,,,-1.15,False,False,354.90,29302494.47,0,15922764.69,13379729.77,29.00,-5.48,31000000,,,,,TSLA
2022-01-07,342.32,360.12,360.31,336.67,342.32,84164700,,,368.61,,,,,399.93,,,-1.55,False,False,342.32,28828228.96,0,15922764.69,12905464.26,29.00,-7.01,31000000,,,,,TSLA
2022-01-10,352.71,333.33,353.03,326.67,352.71,91815000,,,359.17,,,,,399.93,,,-1.55,False,False,342.32,29219805.96,0,8127947.40,21091858.57,46.00,-5.74,31000000,week +buy 50% ,,,,TSLA
2022-01-11,354.80,351.22,358.62,346.27,354.80,66063300,,,353.49,,,,,399.93,,,-1.43,False,False,342.32,29344986.68,0,8127947.40,21217039.28,46.00,-5.34,31000000,,,,,TSLA
2022-01-12,368.74,359.62,371.61,357.53,368.74,83739000,,,354.69,,,,,399.93,,,-1.02,False,False,342.32,30178598.80,0,8127947.40,22050651.40,46.00,-2.65,31000000,,,,,TSLA
2022-01-13,343.85,369.69,371.87,342.18,343.85,97209900,,,352.48,,,,,399.93,,,-1.13,False,False,342.32,28690376.71,0,8127947.40,20562429.31,46.00,-7.45,31000000,,,,,TSLA
2022-01-14,349.87,339.96,350.67,337.79,349.87,72924300,,,353.99,,,,,399.93,,,-1.02,False,False,342.32,29050173.10,0,8127947.40,20922225.70,46.00,-6.29,31000000,,,,,TSLA
2022-01-18,343.50,342.20,356.93,338.69,343.50,66743400,,,352.15,,,,,399.93,,,-0.98,False,False,342.32,28669446.29,0,8127947.40,20541498.89,46.00,-7.52,31000000,,,,,TSLA
2022-01-19,331.88,347.24,351.56,331.67,331.88,75442500,,,347.57,,,,,399.93,,,-1.10,False,False,331.88,27974570.59,0,8127947.40,19846623.19,46.00,-9.76,31000000,,,,,TSLA
2022-01-20,332.09,336.58,347.22,331.33,332.09,70488600,,,340.24,,,,,399.93,,,-1.09,False,False,331.88,27986929.16,0,8127947.40,19858981.76,46.00,-9.72,31000000,,,,,TSLA
2022-01-21,314.63,332.11,334.85,313.50,314.63,103416000,,,334.40,,,,,399.93,,,-1.32,False,False,314.63,26943020.59,0,8127947.40,18815073.19,46.00,-13.09,31000000,,,,,TSLA
2022-01-24,310.00,301.59,311.17,283.82,310.00,151565700,,,326.42,,,,,399.93,,,-1.46,False,False,310.00,26665947.40,0,4097947.40,22568000.00,56.00,-13.98,31000000,week +buy 50% ,20.29,,,TSLA
2022-01-25,306.13,304.73,317.09,301.07,306.13,86595900,,,318.95,,,,,399.93,,,-1.53,False,False,306.13,26384453.89,0,4097947.40,22286506.50,56.00,-14.89,31000000,,19.43,,,TSLA
2022-01-26,312.47,317.48,329.23,302.00,312.47,104867400,,,315.07,,,,,399.93,,,-1.34,False,False,306.13,26845763.47,0,4097947.40,22747816.07,56.00,-13.40,31000000,,25.04,,,TSLA
2022-01-27,276.37,311.12,311.80,276.33,276.37,147109500,,,303.92,,,,,399.93,,,-1.82,False,False,276.37,24217440.90,0,4097947.40,20119493.50,56.00,-21.88,31000000,,17.55,,,TSLA
2022-01-28,282.12,277.19,285.83,264.00,282.12,134789100,,,297.42,,,,,399.93,,,-1.89,False,False,276.37,24636040.90,0,4097947.40,20538093.50,56.00,-20.53,31000000,,21.57,,,TSLA
2022-01-31,312.24,290.90,312.66,287.35,312.24,104436000,398.47,213.23,297.87,336.72,,,,399.93,,,-1.20,False,False,276.37,26829018.67,0,2068387.46,24760631.21,61.00,-13.45,31000000,week +buy 50% ,38.50,,,TSLA
2022-02-01,310.42,311.74,314.57,301.67,310.42,73138200,387.67,221.40,298.72,332.25,,,,399.93,,,-0.69,False,False,276.37,27684428.28,0,3068387.46,24616040.82,61.00,-13.49,32000000,Monthly invest,37.96,,,TSLA
2022-02-02,301.89,309.39,310.50,296.47,301.89,66792900,379.86,224.82,296.61,328.18,,,,399.93,,,-0.45,False,False,276.37,27007999.44,0,3068387.46,23939611.98,61.00,-15.60,32000000,,35.48,32.77,,TSLA
2022-02-03,297.05,294.00,312.33,293.51,297.05,78855600,375.73,223.24,300.74,324.90,,,,399.93,,,-0.33,False,False,276.37,26624187.68,0,3068387.46,23555800.22,61.00,-16.80,32000000,,34.12,31.38,,TSLA
2022-02-04,307.77,299.07,312.17,293.72,307.77,73625400,371.94,223.75,305.87,322.54,,,,399.93,,,0.04,False,False,276.37,27474813.80,0,3068387.46,24406426.34,61.00,-14.14,32000000,,39.65,33.75,,TSLA
2022-02-07,302.45,307.93,315.92,300.90,302.45,60994500,369.81,222.03,303.91,320.55,,,,399.93,,,0.21,False,False,276.37,27052407.20,0,1888845.51,25163561.70,64.00,-15.46,32000000,week +buy 50% ,37.95,35.62,,TSLA
2022-02-08,307.33,301.84,308.76,298.27,307.33,50729100,365.55,223.75,303.30,318.28,,,,399.93,4.00,72.00,0.47,False,False,276.37,27458979.73,0,1888845.51,25570134.22,64.00,-14.19,32000000,,40.47,38.80,,TSLA
2022-02-09,310.67,311.67,315.42,306.67,310.67,52259400,360.34,227.54,305.05,316.07,,,,399.93,0.00,68.00,0.72,False,False,276.37,27736311.29,0,1888845.51,25847465.78,64.00,-13.32,32000000,,42.20,39.69,,TSLA
2022-02-10,301.52,302.79,314.60,298.90,301.52,66126900,350.15,237.83,305.95,312.71,,,,399.93,0.00,64.00,0.71,False,False,276.37,26975031.87,0,1888845.51,25086186.36,64.00,-15.70,32000000,,38.87,39.40,,TSLA
2022-02-11,286.67,303.21,305.32,283.57,286.67,79645800,346.06,237.44,301.73,309.85,,,,399.93,20.00,60.00,0.41,False,False,276.37,25739511.29,0,1888845.51,23850665.78,64.00,-19.56,32000000,,34.15,34.14,,TSLA
2022-02-14,291.92,287.19,299.63,284.38,291.92,67756500,338.91,243.04,299.62,306.96,,,,399.93,16.00,56.00,0.36,False,False,276.37,26176590.59,0,1129853.47,25046737.12,66.00,-18.20,32000000,week +buy 50% ,37.06,29.74,,TSLA
2022-02-15,307.48,300.00,307.67,297.79,307.48,57286200,332.38,250.70,299.65,305.15,,,,399.93,12.00,52.00,0.68,False,False,276.37,27511350.39,0,1129853.47,26381496.91,66.00,-14.03,32000000,,44.84,34.69,35.00,TSLA
2022-02-16,307.80,304.68,308.81,300.40,307.80,51294300,328.32,255.21,299.08,303.95,,,,399.93,8.00,48.00,0.90,False,False,276.37,27538806.99,0,1129853.47,26408953.51,66.00,-13.94,32000000,,44.99,44.11,36.13,TSLA
2022-02-17,292.12,304.42,306.17,291.37,292.12,55178400,323.11,259.64,297.20,301.95,,,,399.93,4.00,44.00,0.71,False,False,276.37,26193463.67,0,1129853.47,25063610.20,66.00,-18.15,32000000,,39.32,47.32,37.73,TSLA
2022-02-18,285.66,295.33,295.62,279.20,285.66,68501700,321.95,257.60,296.99,300.50,,,,399.93,0.00,40.00,0.46,False,False,276.37,25639481.82,0,1129853.47,24509628.34,66.00,-19.88,32000000,,37.24,41.84,38.53,TSLA
2022-02-22,273.84,278.04,285.58,267.03,273.84,83288100,322.59,250.90,293.38,298.69,,,,399.93,4.00,36.00,0.06,False,False,273.84,24625610.59,0,1129853.47,23495757.11,66.00,-23.04,32000000,,33.73,29.32,37.91,TSLA
2022-02-23,254.68,276.81,278.43,253.52,254.68,95256900,326.47,235.42,282.82,296.12,,,,399.93,0.00,100.00,-0.57,False,False,254.68,22981396.87,0,1129853.47,21851543.40,66.00,-28.18,32000000,,28.95,16.61,35.69,TSLA
2022-02-24,266.92,233.46,267.49,233.33,266.92,135322200,325.74,230.05,274.64,293.84,,,,399.93,0.00,100.00,-0.64,False,False,254.68,24031876.04,0,1129853.47,22902022.57,66.00,-24.90,32000000,,35.26,19.10,33.63,TSLA
2022-02-25,269.96,269.74,273.17,260.80,269.96,76067700,326.24,228.10,270.21,293.52,,,,399.93,0.00,96.00,-0.54,False,False,254.68,24292135.33,0,1129853.47,23162281.86,66.00,-24.09,32000000,,36.76,28.85,32.57,TSLA
2022-02-28,290.14,271.67,292.29,271.57,290.14,99006900,326.26,229.25,271.11,293.93,,,,399.93,0.00,92.00,0.04,False,False,254.68,26024152.13,0,752667.13,25271485.00,67.00,-18.67,32000000,week +buy 50% ,45.75,51.27,34.28,TSLA
2022-03-01,288.12,289.89,296.63,284.59,288.12,74766900,324.02,230.13,273.97,292.72,,,,399.93,8.00,88.00,0.41,False,False,254.68,26848208.47,0,1752667.13,25095541.35,67.00,-18.64,33000000,Monthly invest,45.06,59.82,37.29,TSLA
2022-03-02,293.30,290.71,295.49,281.42,293.30,74643300,322.10,231.40,281.69,291.86,,,,399.93,4.00,84.00,0.78,False,False,254.68,27298806.30,0,1752667.13,25546139.17,67.00,-17.28,33000000,,47.25,69.24,40.75,TSLA
2022-03-03,279.76,292.92,295.48,277.53,279.76,61623600,321.06,230.15,284.26,290.76,,,,399.93,0.00,80.00,0.71,False,False,254.68,26120053.69,0,1752667.13,24367386.57,67.00,-20.85,33000000,,42.47,65.05,42.84,TSLA
2022-03-04,279.43,283.03,285.22,275.05,279.43,66999600,320.42,228.79,286.15,289.88,,,,399.93,28.00,76.00,0.67,False,False,254.68,26091019.52,0,1752667.13,24338352.39,67.00,-20.94,33000000,,42.36,61.54,44.26,TSLA
2022-03-07,268.19,285.43,288.71,268.19,268.19,72494100,318.68,226.34,281.76,287.90,,,,399.93,24.00,72.00,0.40,False,False,254.68,25112306.08,0,1055364.47,24056941.61,69.00,-23.90,33000000,week +buy 50% ,38.61,51.41,45.22,TSLA
2022-03-08,274.80,265.18,283.33,260.72,274.80,80399100,317.04,225.47,279.10,286.52,,,,399.93,20.00,68.00,0.39,False,False,254.68,25704923.40,0,1055364.47,24649558.92,69.00,-22.11,33000000,,41.87,49.51,47.24,TSLA
2022-03-09,286.32,279.83,286.85,277.34,286.32,59184000,314.46,227.48,277.70,285.46,,,,399.93,16.00,64.00,0.67,False,False,254.68,26738567.53,0,1055364.47,25683203.06,69.00,-18.97,33000000,,47.14,52.42,50.82,TSLA
2022-03-10,279.43,283.82,284.82,270.12,279.43,58648500,310.57,230.57,277.64,283.90,,,,399.93,12.00,60.00,0.69,False,False,254.68,26120533.19,0,1055364.47,25065168.71,69.00,-20.85,33000000,,44.54,57.26,54.64,TSLA
2022-03-11,265.12,280.07,281.27,264.59,265.12,67037100,308.66,228.93,274.77,282.08,,,,399.93,8.00,56.00,0.38,False,False,254.68,24836329.68,0,1055364.47,23780965.21,69.00,-24.74,33000000,,39.64,54.46,57.20,TSLA
2022-03-14,255.46,260.20,266.90,252.01,255.46,71152200,309.40,222.76,272.23,280.52,,,,399.93,4.00,52.00,-0.03,False,False,254.68,23969827.32,0,723270.81,23246556.51,70.00,-27.36,33000000,week +buy 50% ,36.71,42.72,56.35,TSLA
2022-03-15,267.30,258.42,268.52,252.19,267.30,66841200,308.22,221.43,270.73,279.29,,,,399.93,0.00,48.00,0.02,False,False,254.68,25047266.96,0,723270.81,24323996.15,70.00,-24.10,33000000,,42.34,38.81,54.24,TSLA
2022-03-16,280.08,269.67,280.67,267.42,280.08,84028800,303.82,226.12,269.48,277.92,,,,399.93,4.00,44.00,0.39,False,False,254.68,26210246.87,0,723270.81,25486976.06,70.00,-20.58,33000000,,47.74,45.41,51.86,TSLA
2022-03-17,290.53,277.00,291.67,275.24,290.53,66582900,299.89,231.40,271.70,277.06,,,,399.93,0.00,40.00,0.87,False,False,254.68,27161803.38,0,723270.81,26438532.57,70.00,-17.69,33000000,,51.73,61.82,51.54,TSLA
2022-03-18,301.80,291.50,302.62,289.13,301.80,100414200,301.98,228.67,279.03,277.54,,,,399.93,0.00,36.00,1.42,False,False,254.68,28186766.96,0,723270.81,27463496.15,70.00,-14.59,33000000,,55.65,79.76,53.36,TSLA
2022-03-21,307.05,304.99,314.28,302.36,307.05,81981600,306.07,223.71,289.35,278.61,,,,399.93,100.00,32.00,1.83,True,False,254.68,28665125.20,0,723270.81,27941854.39,70.00,-13.14,33000000,week +buy 50% ,57.39,89.47,57.17,TSLA
2022-03-22,331.33,310.00,332.62,307.25,331.33,105868500,317.15,210.16,302.16,281.49,,,,399.93,100.00,28.00,2.54,True,False,254.68,30873996.87,0,723270.81,30150726.06,70.00,-6.44,33000000,,64.35,96.19,61.83,TSLA
2022-03-23,333.04,326.65,346.90,325.47,333.04,120676200,325.38,205.45,312.75,285.40,,,,399.93,100.00,24.00,2.90,True,False,254.68,31029608.87,0,723270.81,30306338.06,70.00,-5.97,33000000,,64.78,92.52,65.84,TSLA
2022-03-24,337.97,336.58,341.50,329.60,337.97,68920800,334.04,198.80,322.24,288.96,,,,399.93,96.00,20.00,3.07,True,False,254.68,31478843.66,0,723270.81,30755572.85,70.00,-4.61,33000000,,66.08,92.36,69.35,TSLA
2022-03-25,336.88,336.00,340.60,332.44,336.88,62031600,341.03,194.85,329.25,292.30,,,,399.93,92.00,16.00,2.99,True,False,254.68,31379351.26,0,723270.81,30656080.45,70.00,-4.91,33000000,,65.50,89.28,72.83,TSLA
2022-03-28,363.95,355.03,365.96,351.20,363.95,102506100,353.83,180.31,340.63,295.99,,,,399.93,100.00,12.00,3.32,True,False,254.68,33842416.41,0,723270.81,33119145.61,70.00,2.55,33000000,week +buy 50% ,71.98,92.76,77.84,TSLA
2022-03-29,366.52,369.33,371.59,357.70,366.52,73614900,365.23,169.27,347.67,299.91,309.79,,,399.93,100.00,8.00,3.36,True,False,254.68,34076895.29,0,723270.81,33353624.49,70.00,3.26,33000000,,72.51,94.48,83.41,TSLA
2022-03-30,364.66,363.72,371.32,361.33,364.66,59865000,374.51,161.42,354.00,303.48,309.20,,,399.93,96.00,4.00,3.14,True,False,254.68,33907633.84,0,723270.81,33184363.03,70.00,2.75,33000000,,71.46,96.07,88.47,TSLA
2022-03-31,359.20,364.86,367.71,358.88,359.20,48992700,381.55,159.25,358.24,307.45,308.80,,,399.93,92.00,0.00,2.70,True,False,254.68,33410471.90,0,723270.81,32687201.09,70.00,1.24,33000000,,68.33,93.20,91.61,TSLA
2022-04-01,361.53,360.38,364.92,355.55,361.53,54263100,388.05,158.57,363.17,311.56,308.78,,,399.93,88.00,44.00,2.28,True,False,254.68,34622500.72,0,1723270.81,32899229.91,70.00,1.83,34000000,Monthly invest,68.96,91.81,92.81,TSLA
2022-04-04,381.82,363.13,383.30,357.51,381.82,82035900,396.82,158.07,366.75,317.24,309.23,,,399.93,100.00,40.00,2.24,True,False,254.68,36468588.78,0,1226909.12,35241679.66,71.00,7.26,34000000,week +buy 50% ,73.79,93.36,93.20,TSLA
2022-04-05,363.75,378.77,384.29,362.43,363.75,80075100,401.23,162.61,366.19,321.69,309.58,,,399.93,100.00,36.00,1.70,True,False,254.68,34801341.11,0,1226909.12,33574431.99,71.00,2.36,34000000,,64.20,91.64,92.75,TSLA
2022-04-06,348.59,357.82,359.67,342.57,348.59,89348400,403.43,167.54,362.98,324.80,309.51,,,399.93,96.00,32.00,0.96,True,False,254.68,33401458.76,0,1226909.12,32174549.64,71.00,-1.76,34000000,,57.44,85.45,92.04,TSLA
2022-04-07,352.42,350.80,358.86,340.51,352.42,79447200,405.07,175.21,361.62,328.45,309.48,,,399.93,92.00,28.00,0.46,True,False,254.68,33755276.32,0,1226909.12,32528367.20,71.00,-0.72,34000000,,58.63,77.80,90.58,TSLA
2022-04-08,341.83,347.74,349.48,340.81,341.83,55013700,403.31,190.23,357.68,332.29,309.03,,,399.93,88.00,24.00,-0.11,True,False,254.68,32777816.92,0,1226909.12,31550907.80,71.00,-3.59,34000000,,54.14,72.27,88.88,TSLA
2022-04-11,325.31,326.80,336.16,324.88,325.31,59357100,397.63,212.08,346.38,335.78,308.72,,,399.93,84.00,20.00,-0.82,True,False,254.68,31253021.94,0,804006.13,30449015.81,72.00,-8.08,34000000,week +buy 50% ,47.98,66.39,86.25,TSLA
2022-04-12,328.98,332.55,340.40,325.53,328.98,65976000,392.33,231.93,339.43,338.86,308.37,,,399.93,80.00,16.00,-1.19,True,False,254.68,31596846.47,0,804006.13,30792840.34,72.00,-7.07,34000000,,49.36,58.64,82.66,TSLA
2022-04-13,340.79,327.03,342.08,324.37,340.79,55121100,388.06,249.56,337.87,341.90,308.32,,,399.93,76.00,12.00,-1.18,True,False,254.68,32701950.97,0,804006.13,31897944.84,72.00,-3.82,34000000,,53.62,56.05,78.66,TSLA
2022-04-14,328.33,333.10,337.57,327.40,328.33,58422300,384.11,263.13,333.05,343.79,308.27,,,399.93,72.00,8.00,-1.39,True,False,254.68,31536007.12,0,804006.13,30732001.00,72.00,-7.25,34000000,,48.94,51.33,74.47,TSLA
2022-04-18,334.76,329.68,338.31,324.47,334.76,51715200,381.20,273.91,331.64,345.44,308.31,,,399.93,68.00,4.00,-1.36,False,False,254.68,32137854.38,0,804006.13,31333848.25,72.00,-5.48,34000000,week +buy 50% ,51.30,46.95,69.99,TSLA
2022-04-19,342.72,335.02,344.98,331.78,342.72,49847700,378.41,284.83,335.12,347.22,308.78,,,399.93,64.00,0.00,-1.15,False,False,254.68,32882286.91,0,804006.13,32078280.78,72.00,-3.29,34000000,,54.13,42.26,64.88,TSLA
2022-04-20,325.73,343.33,344.67,325.08,325.73,70711200,378.79,283.23,334.47,346.94,309.04,,,399.93,60.00,0.00,-1.31,False,False,254.68,31292646.47,0,804006.13,30488640.34,72.00,-7.96,34000000,,47.75,29.29,58.64,TSLA
2022-04-21,336.26,358.24,364.07,332.14,336.26,105416400,378.70,283.90,333.56,347.10,309.54,,,399.93,56.00,0.00,-1.17,False,False,254.68,32277943.06,0,804006.13,31473936.94,72.00,-5.06,34000000,,51.56,22.72,52.37,TSLA
2022-04-22,335.02,338.30,344.95,331.33,335.02,69696600,378.75,283.36,334.90,346.95,309.92,,,399.93,52.00,0.00,-1.07,False,False,254.68,32161565.78,0,804006.13,31357559.66,72.00,-5.41,34000000,,51.09,13.30,45.92,TSLA
2022-04-25,332.67,326.32,336.21,325.10,332.67,68341200,378.86,282.51,334.48,346.74,310.86,,,399.93,48.00,0.00,-1.01,False,False,254.68,31942230.75,0,804006.13,31138224.62,72.00,-6.05,34000000,week +buy 50% ,50.15,17.16,40.41,TSLA
2022-04-26,292.14,331.81,333.33,291.67,292.14,136133700,382.10,265.26,324.36,343.15,311.02,,,399.93,44.00,100.00,-1.72,False,False,254.68,28148311.53,0,804006.13,27344305.40,72.00,-17.21,34000000,,37.40,10.72,34.84,TSLA
2022-04-27,293.84,299.53,306.00,292.45,293.84,76956300,382.43,253.70,317.99,339.52,310.72,,,399.93,40.00,96.00,-2.07,False,False,254.68,28307118.44,0,804006.13,27503112.31,72.00,-16.74,34000000,,38.11,5.57,29.53,TSLA
2022-04-28,292.50,299.99,300.00,273.90,292.50,124948500,381.79,244.15,309.23,335.91,310.42,,,399.93,36.00,100.00,-2.23,False,False,254.68,28182317.44,0,804006.13,27378311.31,72.00,-17.11,34000000,,37.75,6.57,24.59,TSLA
